,name,texts_number,texts_percent
152,Pietro Zveteremich,2,0.0007698229407236335
153,Polledro,1,0.00038491147036181676
154,R. Prokofieva,2,0.0007698229407236335
155,Raissa Bobrova,6,0.0023094688221709007
156,Reggio,1,0.00038491147036181676
157,Regīna Ezera,6,0.0023094688221709007
158,René Śliwowski,7,0.0026943802925327174
159,Ricardo San Vicente,2,0.0007698229407236335
160,Richard Pevear,1,0.00038491147036181676
161,Rinaldo Kufferle,1,0.00038491147036181676
162,Robert Chandler,4,0.001539645881447267
163,Robert Daglish and K. M. Cook-Horujy,9,0.003464203233256351
164,Rochelle S. Townsend,1,0.00038491147036181676
165,Rose Prokofieva,12,0.004618937644341801
166,Rudolf Kassner,1,0.00038491147036181676
167,S. Pollak,1,0.00038491147036181676
168,S. Rauhvargere,1,0.00038491147036181676
169,Serena Vitale,4,0.001539645881447267
170,Sergio Leone,1,0.00038491147036181676
171,Sergio Rapetti,3,0.0011547344110854503
172,Simone Ferroni,1,0.00038491147036181676
173,Sophie Benech,3,0.0011547344110854503
174,Staffan Dahl,2,0.0007698229407236335
175,Staffan Skott,5,0.001924557351809084
176,Stefania Persano,1,0.00038491147036181676
177,Stepan Apresyan,7,0.0026943802925327174
178,Sture Nilsson,1,0.00038491147036181676
179,Suzanne Rozenberg,4,0.001539645881447267
180,Sven Vallmark,1,0.00038491147036181676
181,T. Stępniewski,1,0.00038491147036181676
182,Tatjana Jarmolinska,1,0.00038491147036181676
183,Tiito Himma,1,0.00038491147036181676
184,Tonia Galievsky,1,0.00038491147036181676
185,Tora Bergengren,1,0.00038491147036181676
186,Valdis Grēviņš,5,0.001924557351809084
187,Valerio Piccolo,1,0.00038491147036181676
188,Valija Brulāne,1,0.00038491147036181676
189,Vera Dridso,2,0.0007698229407236335
190,Vilma Matsov,1,0.00038491147036181676
191,Wacław Rogowicz,2,0.0007698229407236335
192,Walborg Hedberg,2,0.0007698229407236335
193,Wilhelm Lange,1,0.00038491147036181676
194,William E. Smith,2,0.0007698229407236335
195,Witold Dąbrowski,2,0.0007698229407236335
196,inosmi.ru,238,0.09160892994611239
197,studenti del Master ELEO: Lisa Melis,1,0.00038491147036181676
198,www.cerkva.od.ua,1,0.00038491147036181676
199,www.happydoctor.ru,1,0.00038491147036181676
200,Є. Лукін,1,0.00038491147036181676
201,Є. Сверстюк,1,0.00038491147036181676
202,І. Андрусяк,3,0.0011547344110854503
203,І. Майстренко,1,0.00038491147036181676
204,І. Сенченко,3,0.0011547344110854503
205,І. Щербина,1,0.00038491147036181676
206,А. А. Афиногенова,5,0.001924557351809084
207,А. А. Руденко-Десняк,25,0.00962278675904542
208,А. Афанасьев,1,0.00038491147036181676
209,А. Белов,3,0.0011547344110854503
210,А. Белорус,1,0.00038491147036181676
211,А. Бражкина,3,0.0011547344110854503
212,А. В. Кривцова,3,0.0011547344110854503
213,А. В. Савинов,1,0.00038491147036181676
214,А. В. Савицкая,4,0.001539645881447267
215,А. Ведюшкин,1,0.00038491147036181676
216,А. Г. Островский,9,0.003464203233256351
217,А. Григорук,1,0.00038491147036181676
218,А. Деев,10,0.003849114703618168
219,А. Дейч,8,0.003079291762894534
220,А. Дмитриев,1,0.00038491147036181676
221,А. Долинин,2,0.0007698229407236335
222,А. Е. Рудоманова,3,0.0011547344110854503
223,А. Зеленина,1,0.00038491147036181676
224,А. Ибрагимов,1,0.00038491147036181676
225,А. Ильф,1,0.00038491147036181676
226,А. Кондюрина,1,0.00038491147036181676
227,А. Косс,1,0.00038491147036181676
228,А. Костецький,1,0.00038491147036181676
229,А. Лавруша,1,0.00038491147036181676
230,А. Миронов,1,0.00038491147036181676
231,А. Морозов,1,0.00038491147036181676
232,А. Москвичева,1,0.00038491147036181676
233,А. Мясников,3,0.0011547344110854503
234,А. Н. Анваер,1,0.00038491147036181676
235,А. Островский,8,0.003079291762894534
236,А. Петров,1,0.00038491147036181676
237,А. Прокофьев,1,0.00038491147036181676
238,А. Пустогаров,5,0.001924557351809084
239,А. Рогачева,1,0.00038491147036181676
240,А. Роскопыт,1,0.00038491147036181676
241,А. Рябинина,1,0.00038491147036181676
242,А. С.,1,0.00038491147036181676
243,А. Смородина,1,0.00038491147036181676
244,А. Ставиская,1,0.00038491147036181676
245,А. Старостин,2,0.0007698229407236335
246,А. Тадеосян,1,0.00038491147036181676
247,А. Тонкель,3,0.0011547344110854503
248,А. Хуторян,10,0.003849114703618168
249,А. Чеснокова,3,0.0011547344110854503
250,А. Шадрин,1,0.00038491147036181676
251,А. Ю. Терещенко,1,0.00038491147036181676
252,Агей Гатов,1,0.00038491147036181676
253,Ал. Дейч,2,0.0007698229407236335
254,Александр Довженко,7,0.0026943802925327174
255,Алексей Дживелегов,1,0.00038491147036181676
256,Алена Пятровіч,1,0.00038491147036181676
257,Алесь Адамовіч,1,0.00038491147036181676
258,Алесь Бачыла,1,0.00038491147036181676
259,Алесь Жук,4,0.001539645881447267
260,Алесь Якімовіч,1,0.00038491147036181676
261,Анатолій Григорук,1,0.00038491147036181676
262,Анатолій Камінчук,1,0.00038491147036181676
263,Анатолій Купрієнко,13,0.0050038491147036184
264,Ангел Каралийчев,1,0.00038491147036181676
265,Андрей Пустогаров,1,0.00038491147036181676
266,Андрэй Курэйчык,1,0.00038491147036181676
267,Антон Адамовіч,1,0.00038491147036181676
268,Антін Харченко,1,0.00038491147036181676
269,Асен Траянов,1,0.00038491147036181676
270,Атанас Далчев,1,0.00038491147036181676
271,Б. Бурьян,3,0.0011547344110854503
272,Б. Грифцов,1,0.00038491147036181676
273,Б. Д. Антоненко-Давидович,1,0.00038491147036181676
274,Б. Д. Прозоровская,1,0.00038491147036181676
275,Б. Е. Мескин,1,0.00038491147036181676
276,Б. Заходер,2,0.0007698229407236335
277,Б. Изаков,1,0.00038491147036181676
278,Б. Попель,1,0.00038491147036181676
279,Б. Слуцкий,1,0.00038491147036181676
280,Б. Турганов,3,0.0011547344110854503
281,Б. Яковлев,2,0.0007698229407236335
282,Белов,1,0.00038491147036181676
283,Борис Мисирков,4,0.001539645881447267
284,Біблійная Камісія Беларускай Праваслаўнай Царквы,3,0.0011547344110854503
285,В. А. Жиженко,1,0.00038491147036181676
286,В. А. Смирнов,2,0.0007698229407236335
287,В. Беркович,1,0.00038491147036181676
288,В. Вальдман,1,0.00038491147036181676
